disease_name,gene_name
"1,5 anhydroglucitol measurement",SLC5A1; MGP; CD83; RFPL2; PDE6H; ERP27; RPP14; ABHD6; PDHB; SLC50A1; MUC1; MCUR1; SI; FLNB; SLC5A10; OR9G4; OR8J1; FAM83G; OR8K3; RANBP9; ART4; PTPRO; GRAP; KCTD6; ACOX2; EFNA1; C22orf42; MGAM2; ARHGDIB; YWHAH; RERG; OR8K1; DNASE1L3; PXK; THBS3; RNF182; OR5T1; HTD2; MGAM
17-hydroxyprogesterone measurement,HAO2; FBXO15; COMMD1; HSD3B2; HLA-DRA; NCR3; MCCD1; MICA; CCHCR1; DDR1; HLA-DQA2; CYB5A; FAM161A; HSD3B1; TIMM21; CCT4; HLA-DQA1; POU5F1; HLA-DQB2; MUC22
3-hydroxy-1-methylpropylmercapturic acid measurement,ITM2A; TXLNG; MBD1; SUMF1; GPR174; ITPR1; CXXC1; C1QTNF1; XXYLT1; FAM133A; DDX53; NHS; PINX1; ST3GAL1; FMO4; KCNN2; ASB2; PLCB4; ASB9; LGALS3BP; TRIM36; PGGT1B; ASB11; RBFOX3; MYO5B; NSG1; REPS2; CFAP53; PRIMA1; ZBTB10; CTPS2; NDRG1; BHLHE40; SKA1; CFAP418; PTCHD1; ENGASE; STX18; SOX7; SERPINA1; TWIST2; FMO1; STK10; FBXW11; RBBP7; PBDC1; PRLR; ACAP2; TBX22; TBX3; MAPK4; CNTNAP4; MSX1; CANT1; PLCB1; NAP1L3; MAGEE2; MAGEE1; EFCAB9
3-hydroxypropylmercapturic acid measurement,ZIC2; SNX29; CELF4; CPPED1; CXXC1; RAG1; RBFOX3; CFAP53; TRAF6; MRPS22; PRR23B; KIR2DL4; IZUMO3; KIR3DL2; TNFRSF17; MBD1; KIAA1328; SCHIP1; NUP35; MYO5B; RAG2; TEX26; OR5AN1; FOXL2NB; NPIPB2; NLRP2; MEDAG; USP31; PRR5L; THSD7B; IFTAP; ATF7IP2; SCNN1G; ENGASE; SCNN1B; C1QTNF1; FOXL2; PLA2G4E; PRR23C; SHISA9; IQCJ-SCHIP1; PIK3CB; ACP5; GSPT1; CCDC6; LGALS3BP; HS3ST2; ZIC5; MAPK4; SKA1; KIR3DL1; CANT1; PCCA; ELAVL3; ZNF441; ZNF627; RGL3; PRR23A; EMP2
ACPA-positive rheumatoid arthritis,SLC17A2; CCR6; PTPN22; STAT4; YPEL4; RBPJ; HECTD4; CHST1; RTKN2; TAP2; BTNL2; CEP43; PSMB9; HLA-DOB; RSBN1; SH2B3; PHTF1; SERPING1; CTLA4; TAP1; CLP1; HLA-DQA1; ATXN2; PRDM11; SYT13; SEL1L3; ALDH2; STAT1; MYO1B; TRAFD1; HLA-DRB5; PSMB8; HLA-DQB2; SMIM20; FDX2; TYK2; ARID5B; RAVER1; nan; HLA-DRA; HLA-DQA2
AR-C124910XX measurement,SLCO1A2; UGT2A2; UGT2B10; UGT2B4; UGT2B7; UGT2B15; IAPP; UGT2A3; UGT2A1; UGT2B11; SLCO1B1; UGT2B28
Abdominal Aortic Aneurysm,MTAP; PCIF1; RBBP8; CRISPLD2; RLN2; HSPE1; SPP1; RCL1; SMARCA4; APOE; TOMM40; SORT1; KIAA0513; DAB2IP; CELSR2; SMYD2; GDF7; CDKN2B; CDKN2A; RFTN2; ADAMTS15; STAT6; PDCD1LG2; ZNF335; CTAGE1; IBSP; TYR; SLC1A1; RLN1; PLGRKT; LIPA; ZPR1; CHRNB4; INSL4; PLG; CDKN1A; ZBTB46; ADAMTS8; CH25H; HSPD1; MEPE; IFIT5; IL6R; CHRNA5; HYKK; STMN3; CHRNA3; JAK2; APOA5; COQ10B; SF3B1; MOB4; LDAH; IFIT3; INSL6; LRP1; LDLR; PSRC1; BUD13; PTPN14; LPA; RTEL1; RTEL1-TNFRSF6B; ANKRD44; PLTP; SPATA6L; CDC37L1; PKD2; IFIT2; CD274; NEURL2; APOC1; KCNJ6; KCNJ15; ERG; FBN1; GRM5; TRIB1; GGTA1; PLPP6; HSPE1-MOB4
Abdominal pain,CTTNBP2; TESMIN; SND1; L3MBTL3; PLEKHO2; CPQ; MTR; PCDH1; ANKDD1A; DCC; TMEM244; PPP2R5A; HIVEP1; NENF; BATF3; ABCG8; PCLAF; NKAIN3; GAL; POLA1; PCYT1B; PPP6R3; CPT1A; ABCG5; RBPMS2; LRP1B
Abnormal mastoid morphology,RNF216; IL4I1; CDHR3; TBX1; MYH14; SCNN1A; LTBR; BMPER; FAM220A; GNB1L; NUP62; SYPL1; ROBO2
Abnormal thrombosis,EDEM2; F11; MDK; MMP24; ILF3; FGG; FGB; FAM83C; SLC44A2; DDB2; ABO; PROCR; MMP24OS; PACSIN3; FGA; LRAT; CYP4V2
