disease_name,gene_name
AIDS,IL2RB; RBX1; TUBB4A; TUBB2A; IFNAR1; CYP3A7; TUBB4B; TXNRD1; CYP3A43; TOP2B; PGR; CYP3A5; NR3C1; IL2RA; IFNAR2; CYP3A4; DDB1; AR; TUBB6; TUBB; TLR7; TUBB8; VDR; CRBN; TOP2A; CUL4A; MS4A1; CCR5; TUBB3; TUBB1; TUBB2B
AL amyloidosis,CD38; PSMB5; NR3C1; MMP13; CUL4A; BCL2; TUBB6; TUBB4B; SLAMF7; XPO1; RBX1; TUBB1; TUBB4A; TUBB; MMP1; TUBB8; TNFRSF17; KCNH2; CRBN; MMP8; TUBB2A; MMP7; DDB1; TUBB2B; TUBB3
Abdominal Aortic Aneurysm,NDUFS1; NDUFB2; NDUFA8; NDUFA10; NDUFAF1; NDUFB11; NDUFB9; NDUFS2; NDUFA3; NDUFA6; PPIA; NDUFS3; NDUFA7; NDUFC1; GPD2; NDUFS7; NDUFAF4; NDUFA2; NDUFB5; CACNA1C; CACNA1D; NDUFAF2; NDUFB8; NDUFS5; NDUFV2; NDUFA4L2; MT-ND4; MT-ND1; NDUFB4; MMP8; NDUFB3; NDUFA1; IL1B; MMP7; MMP13; NDUFV3; NDUFV1; NDUFA11; NDUFAF3; NDUFB1; NDUFA12; NDUFA4; MT-ND5; MT-ND4L; NDUFAB1; CACNA1S; NDUFB7; CACNA1F; NDUFS8; NDUFA5; NDUFA9; NDUFB10; NDUFS6; NDUFC2; ACE; NDUFS4; NDUFB6; P2RY12; NDUFA13; MMP1; MT-ND6; MT-ND2; MT-ND3
Abdominal pain,VDR; CHRM1; CNR2; HRH1; NR3C1; SCN1A; SCN3A; SCN9A; SCN10A; TACR2; NGF; SCN11A; SCN5A; SCN8A; SCN4A; SCN2A; SCN7A
Abnormality of blood and blood-forming tissues,IL5RA; IL2RB; TUBB4A; TOP2A; POLE3; RRM1; F2; PRIM1; TUBB3; TUBB8; POLD1; TOP2B; POLD3; FKBP1A; POLA1; GSR; IMPDH1; NR3C1; TUBB2A; TUBB2B; CUL4A; DDB1; FGB; POLD4; TUBB6; IMPDH2; TUBB4B; TUBB; POLA2; RBX1; TUBB1; CRBN; CSF3R; IL2RA; PRIM2; MS4A1; FGA; POLE; CSF2RA; POLE2; POLD2; FGG
Abnormality of connective tissue,COL4A4; COL6A5; COL4A5; COL27A1; COL2A1; COL1A2; COL4A3; AR; COL4A1; COL11A2; COL6A6; COL28A1; COL11A1; VDR; COL5A1; SNAP25; COL4A2; COL6A2; COL3A1; COL18A1; COL15A1; COL5A3; COL1A1; COL6A1; COL6A3; COL24A1; COL4A6; COL5A2
Acute kidney injury,GABRA3; MET; PDE4D; PTGER2; ADORA2A; PDE5A; SLC5A2; GABRA2; PDE9A; GABRG1; ADORA1; KCNK9; PDE6G; PDE2A; PPIA; PDE7A; MC1R; PDE8A; GABRP; PDE10A; HMGCR; PDE8B; GABRG2; PDE1A; TNNT2; MC3R; TNNI3; TP53; PDE3B; GABRB3; INSR; PDE7B; PDE3A; GABRA5; KCNK18; ADORA3; NPC1L1; SLC12A1; KCNK2; PDE6C; GABRE; PDE4C; FGF1; TNNC1; PDE1B; PDE6A; PDE6B; PDE6H; GABRA6; ADRA2A; PDE6D; GABRB1; ADORA2B; GABRG3; PDE4B; DRD1; GABRD; GABRQ; ADRA2B; GABRA1; PDE4A; KCNK10; GABRA4; VDR; GABRB2; GLRA1; PDE1C; PTGER1; KCNK3; ADRA2C; EPOR
Agitation,GABRG2; GRIN3B; DRD2; ADRA2A; DRD3; GABRA2; GRIN1; GABRA5; GABRA3; DRD4; GABRA4; GRIN2C; GABRG1; CHRNA7; ADRA2C; GABRA1; GABRP; GABRE; HTR2A; GABRA6; HTR4; GABRB3; GABRG3; GRIN2A; GABRQ; GRIN2B; ADRA2B; GRIN2D; GABRB2; GABRB1; GABRD; GRIN3A
Airway obstruction,TUBB2A; TUBB6; TUBB3; TUBB4B; TUBB8; TUBB1; NR3C1; TUBB2B; ADRB2; TUBB; TUBB4A
Albright hereditary osteodystrophy,GHR; PDE4D; ADORA2B; PDE4A; PDE4C; PDE3B; ADORA1; ADORA2A; PDE3A; PDE4B; ADORA3
