disease_name,gene_name
AIDS,PGR; RBX1; TUBB4A; CYP3A5; TUBB2A; IFNAR1; CCR5; CYP3A7; TUBB4B; CFTR; ALOX5; CYP3A43; TOP2B; NR3C1; ANO1; IL2RA; IFNAR2; CYP3A4; DDB1; AR; TUBB6; TUBB; TLR7; TUBB8; ESR1; IL2RB; VDR; CRBN; TOP2A; PDE5A; CUL4A; MS4A1; TUBB3; PTGS2; PTGS1; TUBB1; HMGCR; PPARG; TUBB2B
AL amyloidosis,CD38; PSMB5; TTR; MMP13; CUL4A; DDB1; TUBB6; TUBB4B; SLAMF7; RBX1; CSF3R; MMP1; TUBB8; TNFRSF17; KCNH2; TUBB4A; CRBN; MMP8; TUBB2A; MMP7; TUBB1; NR3C1; TUBB2B; TUBB; TUBB3
Abdominal Aortic Aneurysm,NDUFS1; NDUFB2; NDUFA8; NDUFA10; SCN2A; NDUFAF1; SCN1A; NDUFB11; NDUFB9; NDUFS2; NDUFA3; NDUFA6; PPIA; NDUFS3; NDUFA7; ADRB1; NDUFC1; HMGCR; GPD2; NDUFS7; PLG; NDUFAF4; NDUFA2; NDUFB5; AGTR1; CACNA1C; NR3C2; CACNA1D; NDUFAF2; NDUFB8; SCN11A; NDUFS5; SCN9A; NDUFV2; SCN5A; NDUFA4L2; MT-ND4; MT-ND1; NDUFB4; MMP8; NDUFB3; NDUFA1; IL1B; SCN7A; MMP7; MMP13; NDUFV3; NDUFV1; NDUFA11; NDUFAF3; NDUFB1; NDUFA12; SCN10A; NDUFA4; MT-ND5; MT-ND4L; NDUFAB1; SCN4A; CACNA1S; NDUFB7; CACNA1F; NDUFS8; SERPINC1; NDUFA5; NDUFA9; NDUFB10; NDUFS6; NDUFC2; SCN3A; ACE; NDUFS4; NDUFB6; P2RY12; NDUFA13; MMP1; SCN8A; MT-ND6; MT-ND2; MT-ND3
Abdominal pain,PTGS2; VDR; NR3C1; SCN3A; CHRM1; SCN5A; CNR2; HRH1; SCN8A; OPRM1; SCN7A; SCN1A; CACNA2D1; SCN9A; SCN10A; PPARA; TACR2; PTGS1; FAAH; NGF; FDPS; SCN11A; ADRB2; SCN4A; SCN2A; TRPV1
Abnormal blood glucose concentration,NDUFB4; GPD2; NDUFB3; NDUFA5; NDUFB11; NDUFB9; NDUFC2; NDUFA3; NDUFB1; NDUFA6; NDUFA4; MT-ND5; MT-ND4; NDUFAB1; NDUFB7; NDUFC1; NDUFS8; NDUFS7; NDUFA1; NDUFB5; NDUFAF1; NDUFB10; NDUFS4; NDUFB6; NDUFAF3; NDUFA12; MT-ND6; MT-ND1; NDUFA7; NDUFB2; NDUFAF4; FFAR1; NDUFA10; NDUFA2; NDUFS6; NDUFS2; NDUFV3; NDUFAF2; NDUFV1; NDUFS5; INSR; NDUFA11; NDUFV2; NDUFA13; MT-ND2; NDUFS3; NDUFS1; NDUFA8; NDUFA9; NDUFB8; NDUFA4L2; DPP4; MT-ND3; MT-ND4L
Abnormal cardiovascular system morphology,GRIN2D; GRIN3B; THRB; P2RY12; SCN5A; GRIN3A; SCN7A; SCN1A; SCN11A; GRIN2A; GRIN2B; SCN4A; THRA; SCN2A; NPR1; PDE3A; GRIN1; SCN8A; PDE5A; SCN3A; GRIN2C; SCN9A; SCN10A
Abnormality of blood and blood-forming tissues,IL5RA; AVPR2; VKORC1; TOP2B; FKBP1A; GSR; CUL4A; DDB1; FGB; IMPDH2; RBX1; IMPDH1; CRBN; CSF3R; FGA; F2; AVPR1B; CSF2RA; TOP2A; AVPR1A; FGG; RRM2
Abnormality of connective tissue,COL4A4; COL1A1; COL4A2; COL2A1; COL1A2; COL4A3; COL6A5; COL4A5; COL27A1; COL4A6; COL11A2; COL28A1; COL11A1; COL5A1; COL6A1; COL6A3; COL3A1; AR; COL4A1; COL5A2; COL15A1; COL6A6; SNAP25; COL6A2; COL18A1; COL5A3; COL24A1
Abnormality of the skin,SCN1A; SCN3A; SCN10A; SCN4A; SCN2A; SCN7A; SCN9A; SCN5A; SCN11A; SCN8A
Achalasia,NR3C1; SNAP25; CHRM2; GUCY1B1; CHRM3; CHRM1; GUCY1A2; GUCY1A1; OPRM1; nan
