disease_name,gene_name
12q14 microdeletion syndrome,"['CLDN18' 'ESR1' 'IKZF5' nan 'PLS3' 'CLCN7' 'WNT5B' 'VDR' 'HPCAL4'
 'ABCC10' 'IDUA' 'OSTF1' 'PRDM5' 'SDSL' 'JDP2' 'CTSK' 'CBR4' 'TMEM178A'
 'DKK2' 'SQSTM1' 'LRP5' 'ALPL' 'COL1A2' 'DCSTAMP' 'PTER' 'SOST' 'PFKFB3'
 'SOSTDC1' 'LRRN3' 'GLMN' 'FAM210A' 'TMEM64' 'FZD9' 'SMN2' 'PRSS2'
 'NOTCH3' 'DLG3' 'MAST2' 'COG4' 'ARRDC2' 'PARK7' 'IAPP' 'HCST' 'CD68'
 'LGALS3' 'NOTCH2' 'TLR4' 'FOXK2' 'TMCO3' 'FRZB' 'PBX3' 'REP15' 'SELENOW'
 'NOTUM' 'WWOX' 'NBR1' 'ODAD3' 'PRSS1' 'GPSM3' 'AP1G2' 'SAPCD1' 'PRSS3'
 'GAB2' 'LRP6' 'BCAP29' 'MAVS' 'MYH9' 'CD40LG' 'FOXN1' 'TPI1' 'FHL2'
 'SPP1' 'TNFSF11' 'UBE2Q2' 'PITPNC1' 'KLF10' 'CTHRC1' 'RAB33B' 'TANGO2'
 'MRPL54' 'KPNA4' 'FABP12' 'SMURF1' 'ACKR1' 'SLC35F6' 'CALCR' 'IL20RA'
 'SBNO2' 'FUNDC1' 'FRMPD1' 'SH3BP2' 'C19orf44' 'TCIRG1' 'P3H1' 'AKAP7'
 'CCN2' 'APOBEC2' 'IL6ST' 'CNMD' 'TNS3' 'ETNK1' 'TNFRSF11A' 'ALDH1L1'
 'HDAC8' 'BMP3' 'LRRK1' 'TTC39B' 'CREB3L1' 'BABAM2' 'GABRB1' 'TNFRSF11B'
 'IRS1' 'TM4SF4' 'IFNB1' 'SMN1' 'NLGN3' 'SIGLEC15' 'FAR1' 'AGER' 'USP51']"
14q24.1q24.3 microdeletion syndrome,"['PLXND1' 'CC2D2A' 'QSOX1' 'TBC1D32' 'CPLANE1' 'ADAMTS6' 'PDGFRB' 'WNT5A'
 'IFT172' 'KIF7']"
15q11q13 microduplication syndrome,"['TNC' 'CAMK2A' 'ARHGEF10' 'SNAP25' 'GSTM1' 'NPAS3' 'ELFN2' 'GRIN1'
 'CACNB4' 'MAOA' 'SHANK3' 'ARX' 'CACNA2D2' 'CDKL5' 'MCOLN3' 'CBARP' 'DNM1'
 'NRXN2' 'GABRG2' 'UBE3A' 'GRIN3B' 'IQSEC2' 'ARHGAP32' 'GAD2' 'MYG1'
 'SCN1A' 'PCDH15' 'GRM1' 'GRIA1' 'DISC1' 'TSC1' 'KCNC2' 'GNG8' 'MECP2'
 'MAP6' 'CNTNAP2' 'MAPT' 'LRTOMT' 'GALR3' 'IMPA1' 'SCN2A' 'ADGRL3' 'GPR88'
 'LRRC51' 'TAFA3' 'AKR1C3' 'SYNGAP1' 'TOMT' 'USH1C' 'HCN2' 'FMR1' 'KCNT1'
 'CDH23' 'GSTM5' 'MYO7A' 'AKR1C2' 'SH3RF2' 'CREBRF' 'OXTR' 'LSAMP'
 'AKR1C1' 'GABRD' 'AKR1C4' 'GRXCR1']"
15q13.3 microdeletion syndrome,"['KCNQ2' 'TYRO3' 'KCNT1' 'AKT3' 'SCN9A' 'KCNA4' 'CNTN2' 'NRCAM' 'DNM1'
 'NPY' 'FOSB' 'TCF12' 'SLC10A4' 'ALDH7A1' 'KCNQ3' 'PRICKLE1' 'CELF4'
 'IQSEC2' 'KCNMB4' 'IL6' 'PRICKLE2' 'TEF']"
16p13.11 microduplication syndrome,"['PDGFRB' 'FBLN1' 'MEGF8' 'TGFBR1' 'EDNRA' 'MOSMO' 'CCDC39' 'MATR3' 'EDN1'
 'HECTD1' 'TAB1' 'SUFU' 'ECE1' 'SMAD6' 'GPC3' 'FGF19' 'CITED2']"
17q11.2 microduplication syndrome,"['FAM20A' 'NECTIN1' 'SATB2' 'RUNX2' 'AMELX' 'ENAM' 'EDAR' 'ODAPH' 'GREM2'
 'SSUH2' 'WNT10A' 'DMP1' 'EDA' 'NR0B1' 'AMBN' 'SP6' 'BCL11B' 'POSTN'
 'PAX9' 'AMELY' 'TNN' 'MMP20' 'ALPL']"
2-aminoadipic 2-oxoadipic aciduria,"['OTC' 'CLCN5' 'AGXT' 'PRODH2' 'SLC13A2' 'SLC7A9' 'HAL' 'AKR1B1' 'STUB1'
 'MOCS1' 'GRHPR' 'HGD' 'SLC3A1' 'UMOD' 'HSD17B11' 'SLC16A10' 'ADCY6']"
22q11.2 deletion syndrome,"['PLXND1' 'CD38' 'TRAF3IP3' 'BAZ1B' 'ZNF207' 'CD4' 'U2AF2' 'JMJD6' 'TCF3'
 'SEMA3C' 'FRYL' 'XRCC5' 'PTPRC' 'ITGAE' 'TTC39A' 'PCSK5' 'IL2RB' 'ATP11C'
 'ZNF821' 'RPGRIP1L' 'HSPB1' 'DOCK8' 'DNTT' 'PPP3CB' 'SUFU' 'FOXN1' 'IL2'
 'ITK' 'COL7A1' 'ZAP70' 'STAT1' 'ECE1' 'TGIF2' 'FLT3' 'CHST3' 'BICC1'
 'NCKAP1L' 'SSR1' 'IRF1' 'PTGER2' 'ARHGEF6' 'ARPC1B' 'CCL25' 'DIAPH1'
 'GIMAP6' 'TMEM254' 'RRAS2' 'DOCK2' 'CTSL' 'HEY2' 'CFC1' 'ETV6' 'TCF12'
 'ARL5C' 'VAV1' 'MCL1' 'CDH18' 'UGCG' 'ATM' 'CFC1B' 'DCLRE1C' 'UBP1'
 'FGF19' 'EOMES' 'PITX2' 'EBF1' 'CITED2' 'C1QL3' 'TMEM100' 'B2M' 'SGSM1'
 'CD3D' 'KIF5C' 'RHOH' 'IL7R' 'REPS2' 'ZFPM2' 'SHCBP1' 'SERF1A' 'THEMIS'
 'CES2' 'CCR9' 'FOXC2' 'TUBAL3' 'CD28' 'OAZ2' 'YOD1' 'LCK' 'GPC6' 'SLIT3'
 'IKZF1' 'MRTFB' 'CRACDL' 'SERPINB2' 'CARD11' 'TAP2' 'HLA-C' 'SERF1B'
 'HLA-A' 'TRAJ33' 'LEFTY1' 'PRKDC' 'GJA5' 'RCC1L' 'NFYA' 'CD79B' 'NUB1'
 'WAS' 'MATR3' 'ZRANB1' 'NCAPH2' 'DNAH5' 'LCP2' 'ADAMTS6' 'EIF2AK2'
 'PRDM1' 'SPI1' 'ARHGEF1' 'NFKB2' 'DNM2' 'PSEN1' 'NLRP1' 'HECTD1' 'BCL7C'
 'MMP11' 'GRAP2' 'STK4' 'SALL4' 'TLDC2' 'MAGT1' 'SFRP1' 'SLC1A5' 'JAK3'
 'CDK6' 'GATA3' 'KLF3' 'PITPNM1' 'LTBR' 'CD83' 'GPR63' 'RPL22' 'NSL1'
 'GPR18' 'NRSN2' 'ZBTB1' 'SMARCA4' 'ARHGAP22' 'MRPS25' 'NUP210' 'IL15RA'
 'ETS1' 'TMEM127' 'TFAP2A' 'IL18BP' 'PRICKLE1' 'CCN1' 'RORC' 'ARNT'
 'LEFTY2' 'LBR' 'POLE3' 'PAXX' 'EDNRA' 'MMP21' 'NECAP2' 'C2CD2' 'ELK4'
 'TNFRSF13C' 'AIRE' 'ZBTB7B' 'IKZF3' 'CCDC78' 'TBX20' 'SGPL1' 'RAG1'
 'PRKCB' 'PCLAF' 'LAIR1' 'LAIR2' 'ZRSR2' 'TMEM126A' 'PTCRA' 'CD8B'
 'RASGRP1' 'KLHL6' 'PHF8' 'STAT5B' 'LIG4' 'SLCO2A1' 'RAG2' 'POLD4'
 'LONRF3' 'NFATC2IP' 'JUN' 'SLITRK4' 'TBX1' 'EVL' 'FLNA' 'ZNF335' 'SMOC1'
 'PNP' 'CD3E' 'HLA-G' 'LAT' 'FNIP1' 'HLA-B' 'SHANK3' 'LYN' 'CD8B2'
 'GIMAP1-GIMAP5' nan 'CCDC39' 'FYN' 'FAS' 'GABARAPL2' 'CASR' 'TNFRSF9'
 'SLC12A3' 'TBX21' 'FBLN1' 'ITGA8' 'KAT6A' 'FAM234B' 'KDM2B' 'BLNK'
 'IFT74' 'TAB1' 'ASB2' 'CORO1A' 'ZNF106' 'PDGFRL' 'CD79A' 'DNAJC2'
 'PPP1R17' 'ACTR3C' 'EFTUD2' 'NFKB1' 'BACH2' 'GMDS' 'ID3' 'BCL11A' 'CXCR4'
 'TRAF2' 'RAC2' 'DLL4' 'MYH10' 'COG6' 'ACTR3B' 'SMAD6' 'LMBR1L' 'VPS33A'
 'CHCT1' 'SAE1' 'SLIT2' 'NOTCH1' 'ZEB1' 'CCDC83' 'C16orf89' 'PTDSS1'
 'RBPMS' 'HLCS' 'PSKH1' 'LRRC3' 'TMEM67' 'ANKS6' 'GPD1' 'KCTD5' 'NR1D2'
 'FBXW8' 'ZC3H12D' 'TCAIM' 'SPNS2' 'NKX2-5' 'S100A16' 'GIMAP5' 'GM2A'
 'QRICH1' 'MDM4' 'CEP290' 'CD247' 'TOX' 'HLA-E' 'HLA-F' 'TRBV11-1'
 'TRBV11-3' 'KDM1A' 'AP2B1' 'HIVEP2' 'CD44' 'TLL1' 'FOXP3' 'CASP8' 'DLX3'
 'TNFRSF1A' 'PSME4' 'TGFBR3' 'SMARCE1' 'EDN1' 'TCF7' 'CYLD' 'ERMP1'
 'DICER1' 'IKBKB' 'KDELR1' 'YKT6' 'KDM4C' 'AIP' 'PTPN6' 'ABCC5' 'SNX17'
 'NCF2' 'CCR2' 'PAX1' 'PRRG2' 'SIX1' 'ACY3' 'DPH6' 'CTSV' 'IRF8' 'ACKR3'
 'RABL3' 'PIK3R1' 'RAB19' 'CD8A' 'ELMO1' 'KIT' 'CHAF1B' 'GFI1' 'REL'
 'FABP1' 'PPBP' 'H2AZ1' 'RNF180' 'SAMD3' 'GPER1' 'PLD4' 'MAPK7' 'INPP5D'
 'HIC2' 'STAT2' 'TCEA2' 'WDR73' 'ARHGAP45' 'CXCR2' 'RXRA' 'XRCC6' 'BMPR2'
 'LIN52' 'CRLF2']"
2q33.1 microdeletion syndrome,"['STRADA' 'GSK3B' 'SPECC1L' 'EDNRB' 'KDELR2' 'SOX2' 'ESRP1' 'GAD1'
 'PRICKLE1' 'ZEB1' 'GOLGB1' 'SPECC1L-ADORA2A']"
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,"['ABCC8' 'GIPR' 'BRPF3' 'SLC25A17' 'GCK' 'NT5DC3' 'RBP1' 'DBH' 'TNNI2'
 'ATP8A2' 'PDZD2' 'EIF2S1' 'BIVM' 'AGAP2' 'RAB11FIP5' 'PIGC' 'ILDR2'
 'IGFBP1' 'ADRA2A' 'PFKM' 'GHRL' 'MED11' 'RFTN2' 'SNRK' 'SENP2' 'SLC9B2'
 'NEMF' 'ZNF219' 'ADORA2B' 'RNF213' 'SYNE3' 'SH2B1' 'NT5DC1' 'KLHL32'
 'CXCR3' 'NRN1L' 'CACNA1E' 'LIPN' 'CEBPA' 'INS' 'BIVM-ERCC5' nan 'GCLC'
 'SLC25A13' 'SCIN' 'USP36' 'ACAP1' 'DGKD' 'GCKR' 'PUS7' 'TOX4' 'AKT2'
 'GYS2' 'OPRM1' 'ARFGEF3' 'NEK11' 'ST3GAL5' 'STXBP3' 'FABP3' 'FFAR1'
 'LDLR' 'CCL25' 'IRS4' 'ERCC5' 'ABCG5' 'NR1I3' 'SRP9' 'EXOC6B' 'OCSTAMP'
 'MAT1A' 'MAPK13' 'ADIPOR1' 'ADAR' 'MYORG' 'INSR' 'RAB37' 'KCNH6' 'RBM4B'
 'LEP' 'C1orf127' 'FOXI2' 'P2RX2' 'RNF133' 'PTPN1' 'IL10RB' 'ADIPOR2'
 'ERCC1' 'XYLT2' 'EVI5' 'BUD23' 'NFE2L1' 'ERO1B' 'GNAO1' 'SNX5' 'RETN'
 'FGF21' 'NAMPT' 'GLP1R' 'ENPP5' 'LEPR' 'HMGN3' 'GPR68' 'IDE' 'GLO1'
 'TRIP10' 'TEX101' 'PRADC1' 'STAT4' 'KIF21A' 'ASGR1' 'SIK1' 'CCDC120'
 'TMEM18' 'G6PC2' 'SPHKAP' 'CACNA2D3' 'KCNB1' 'CRTC2' 'LMNA' 'TTLL10'
 'CTHRC1' 'FBP1' 'ZBTB43' 'TTLL6' 'SLC22A1' 'EPM2AIP1' 'STX19' 'TRARG1'
 'IRS2' 'CREBBP' 'CRY1' 'PREX2' 'PHPT1' 'SEC61A1' 'ADGRF5' 'ACADVL'
 'CACNA1S' 'OAS1' 'RAPGEF4' 'TRPS1' 'TUBB4A' 'PIK3R2' 'TPO' 'CDC20' 'ALG2'
 'WWP1' 'LGALS3' 'MEN1' 'PIK3R1' 'NOM1' 'RGS10' 'CPB1' 'ALX3' 'SSTR5'
 'SPTSSA' 'HPRT1' 'STX18' 'SH3TC2' 'SGF29' 'TCERG1L' 'SHMT1' 'MKRN3'
 'PTP4A3' 'HYAL3' 'GK' 'GCGR' 'C17orf100']"
